bmag CLEAN,vmag CLEAN,PHASE,Phase+DELTA
12.4582,12.1842,0.2315873333,0.2315873333
13.2432,12.9692,0.179137622,0.179137622
13.2038,12.9298,0.1856901014,0.1856901014
13.0829,12.8089,0.179137622,0.179137622
12.4631,12.1891,0.2315873333,0.2315873333
13.0685,12.7945,0.1925861382,0.1925861382
13.1005,12.8265,0.1925861382,0.1925861382
13.2552,12.9812,0.1856901014,0.1856901014
11.9204,11.6464,0.584071898,0.584071898
12.0055,11.7315,0.5895040829,0.5895040829
11.9863,11.7123,0.584071898,0.584071898
12.069,11.795,0.5895040829,0.5895040829
12.0652,11.7912,0.0859589723,0.0859589723
11.9121,11.6381,0.0859589723,0.0859589723
12.018,11.7439,0.5573341963,0.5573341963
12.0856,11.8116,0.5573341963,0.5573341963
11.824,11.55,0.564230233,0.564230233
11.9268,11.6528,0.564230233,0.564230233
12.8859,12.6119,0.5697470624,0.5697470624
12.1502,11.8762,0.5697470624,0.5697470624
11.7712,11.4972,0.5756124278,0.5756124278
11.7361,11.4621,0.5756124278,0.5756124278
11.8961,11.6221,0.5814728143,0.5814728143
11.8449,11.5709,0.5814728143,0.5814728143
11.9856,11.7116,0.570339574,0.570339574
12.0599,11.7859,0.570339574,0.570339574
12.1672,11.8932,0.0590470026,0.0590470026
12.1957,11.9217,0.0590470026,0.0590470026
12.3478,12.0738,0.0652559251,0.0652559251
12.3013,12.0273,0.0652559251,0.0652559251
12.3432,12.0692,0.1600726949,0.1600726949
12.3928,12.1188,0.1600726949,0.1600726949
12.3262,12.0522,0.1671429994,0.1671429994
12.2611,11.9871,0.1671429994,0.1671429994
12.2308,11.9568,0.6326777534,0.6326777534
12.3038,12.0298,0.6326777534,0.6326777534
11.7089,11.4349,0.84126668,0.84126668
11.7107,11.4367,0.9673869748,0.9673869748
11.7359,11.4619,0.9673869748,0.9673869748
12.3531,12.0791,0.3488896634,0.3488896634
12.4394,12.1654,0.1202499502,0.1202499502
12.4399,12.1659,0.1202499502,0.1202499502
12.2036,11.9296,0.8597191795,0.8597191795
12.0715,11.7975,0.8597191795,0.8597191795
12.2666,11.9926,0.8402360089,0.8402360089
12.2709,11.9969,0.8402360089,0.8402360089
11.7428,11.4688,0.7077225651,0.7077225651
11.6754,11.4014,0.7077225651,0.7077225651
12.3755,12.1015,0.1069358693,0.1069358693
12.4406,12.1666,0.1069358693,0.1069358693
11.7443,11.4703,0.4835490939,0.4835490939
11.7358,11.4618,0.4835490939,0.4835490939
