row_id;year_mid;Newbmag;bmag;vmag;vmagold;bmagerr;vmagerr;color_term;ut_start;jd_start;jd_mid;exptime;annular_bin;raj2000;dej2000;PHASE
414;1945.77797283;11.0174;11.0174;10.6264;10.6264;0.115785;0.367318;0.967191;10/11/45 09:37 PM;2431740.40111;2431740.40458;600;2;298.639363235;33.0015363365;#WERT!
413;1945.77797283;11.0798;11.0798;10.6888;10.6888;0.116214;0.368528;0.970232;10/11/45 09:37 PM;2431740.40111;2431740.40458;600;2;298.639401778;33.0015084006;#WERT!
525;1948.92062053;10.8786;10.8786;10.4876;10.4876;0.123652;0.440228;1.18632;12/02/48 06:07 PM;2432888.25492;2432888.25665;300;4;298.63963039;33.0015273354;#WERT!
349;1938.80453658;10.9793;10.9793;10.5883;10.5883;0.124587;0.34902;0.908662;10/21/38 08:19 PM;2429193.3466;2429193.35698;1800;5;298.639477168;33.0014389089;#WERT!
318;1938.6650343;11.1352;11.1352;10.7442;10.7442;0.126572;0.351516;0.913469;08/31/38 09:26 PM;2429142.39339;2429142.40378;1800;5;298.639069373;33.001503712;#WERT!
150;1936.68810134;10.8494;10.8494;10.4584;10.4584;0.127224;0.33;0.856455;09/08/36 07:47 PM;2428420.32451;2428420.32902;780;6;298.63906191;33.0016374351;#WERT!
151;1936.68810134;10.8833;10.8833;10.4923;10.4923;0.127381;0.326867;0.848389;09/08/36 07:47 PM;2428420.32451;2428420.32902;780;6;298.639294851;33.0015568685;#WERT!
1089;1960.85558312;11.0632;11.0632;10.6722;10.6722;0.128357;0.359839;0.934483;11/09/60 12:00 AM;2437249;2437247.50174;300;6;298.639447918;33.001493626;#WERT!
608;1951.75718466;10.9287;10.9287;10.5377;10.5377;0.129081;0.438604;1.17555;10/04/51 07:25 PM;2433924.30927;2433924.3117;420;4;298.639340604;33.0014621952;#WERT!
1088;1960.85558312;11.0356;11.0356;10.6446;10.6446;0.1298;0.358255;0.928677;11/09/60 12:00 AM;2437249;2437247.50174;300;6;298.639377418;33.0014292625;#WERT!
321;1938.64577474;11.0055;11.0055;10.6145;10.6145;0.130477;0.345164;0.892596;08/24/38 08:39 PM;2429135.36057;2429135.36922;1500;5;298.63938294;33.00142808;#WERT!
319;1938.6650343;11134;11.134;10.743;10743;0.132234;0.353754;0.913904;08/31/38 09:26 PM;2429142.39339;2429142.40378;1800;5;298.639140228;33.0015230265;#WERT!
369;1938.86721287;11.3339;11.3339;10.9429;10.9429;0.13292;0.349834;0.9026;11/13/38 05:44 PM;2429216.23911;2429216.2495;1800;5;298.639145603;33.0014580007;#WERT!
320;1938.64577474;11.0286;11.0286;10.6376;10.6376;0.134877;0.348645;0.897391;08/24/38 08:39 PM;2429135.36057;2429135.36922;1500;5;298.639341665;33.0015246001;#WERT!
201;1936.85228221;10.9605;10.9605;10.5695;10.5695;0.134957;0.349782;0.900361;11/07/36 07:01 PM;2428480.29262;2428480.29608;600;4;298.639535231;33.0014625232;#WERT!
607;1951.75718466;10.8997;10.8997;10.5087;10.5087;0.137053;0.440837;1.17495;10/04/51 07:25 PM;2433924.30927;2433924.3117;420;4;298.639399553;33.0016060167;#WERT!
350;1938.80453658;11025;11.025;10.634;10634;0.137851;0.352959;0.905909;10/21/38 08:19 PM;2429193.3466;2429193.35698;1800;5;298.639492173;33.0014810446;#WERT!
348;1938.80423792;11715;11.715;11.324;11324;0.139245;0.346668;0.887503;10/21/38 05:42 PM;2429193.23751;2429193.2479;1800;5;298.639017195;33.0015675724;#WERT!
200;1936.85228221;10.9335;10.9335;10.5425;10.5425;0.139545;0.342289;0.875583;11/07/36 07:01 PM;2428480.29262;2428480.29608;600;4;298.63953695;33.0014277733;#WERT!
368;1938.86721287;11.3691;11.3691;10.9781;10.9781;0.140027;0.352559;0.902501;11/13/38 05:44 PM;2429216.23911;2429216.2495;1800;5;298.639210858;33.0013697303;#WERT!
524;1948.92062053;10.8474;10.8474;10.4564;10.4564;0.140669;0.444051;1.18202;12/02/48 06:07 PM;2432888.25492;2432888.25665;300;4;298.639587896;33.0015280256;#WERT!
352;1938.80702374;11.0183;11.0183;10.6273;10.6273;0.140759;0.360613;0.923793;10/22/38 06:07 PM;2429194.25503;2429194.26542;1800;5;298.639416508;33.001446858;#WERT!
351;1938.80423792;11.7352;11.7352;11.3442;11.3442;0.14235;0.34895;0.890245;10/21/38 05:42 PM;2429193.23751;2429193.2479;1800;5;298.638981389;33.0015748819;#WERT!
430;1946.90551162;11.1324;11.1324;10.7414;10.7414;0.143448;0.349928;0.891667;11/27/46 05:39 PM;2432152.23604;2432152.23812;360;2;298.639405292;33.0014439909;#WERT!
317;1938.64597666;10.9678;10.9678;10.5768;10.5768;0.143809;0.378488;0.97125;08/24/38 10:30 PM;2429135.43812;2429135.44297;840;5;298.639143025;33.0014930878;#WERT!
431;1946.90551162;11.1751;11.1751;10.7841;10.7841;0.145369;0.353263;0.89855;11/27/46 05:39 PM;2432152.23604;2432152.23812;360;2;298.639325623;33.0014214935;#WERT!
331;1938.73065431;10.9706;10.9706;10.5796;10.5796;0.145773;0.338446;0.858691;09/24/38 08:39 PM;2429166.3611;2429166.37149;1800;5;298.639278109;33.001437005;#WERT!
147;1936.57088768;10.8364;10.8364;10.4454;10.4454;0.146866;0.336431;0.852235;07/28/36 12:07 AM;2428377.50495;2428377.51672;1800;6;298.638731313;33.001548154;#WERT!
445;1947.54119989;10.8373;10.8373;10.4463;10.4463;0.14743;0.342775;0.868162;07/17/47 10:07 PM;2432384.42188;2432384.42326;240;2;298.639167374;33.0014808014;#WERT!
422;1946.67601792;10.9456;10.9456;10.5546;10.5546;0.147665;0.37269;0.950184;09/04/46 09:52 PM;2432068.41139;2432068.41554;720;2;298.63921638;33.0013477439;#WERT!
322;1938.66767747;11.0583;11.0583;10.6673;10.6673;0.149154;0.352518;0.892243;09/01/38 08:36 PM;2429143.35881;2429143.3692;1800;5;298.639026768;33.0015271366;#WERT!
353;1938.80702374;11008;11.008;10.617;10617;0.149557;0.363843;0.922969;10/22/38 06:07 PM;2429194.25503;2429194.26542;1800;5;298.63941301;33.0014300787;#WERT!
245;1937.66584021;11.0941;11.0941;10.7031;10.7031;0.150204;0.306832;0.77522;08/31/37 10:35 PM;2428777.44122;2428777.44814;1200;8;298.639448835;33.0013065359;#WERT!
433;1946.95193746;11.1144;11.1144;10.7234;10.7234;0.150878;0.37119;0.942205;12/14/46 04:39 PM;2432169.19377;2432169.19516;240;2;298.63968003;33.0014435299;#WERT!
163;1936.70183476;11088;11.088;10.697;10697;0.151044;0.317225;0.799183;09/13/36 08:02 PM;2428425.33476;2428425.34514;1800;6;298.639014363;33.001557527;#WERT!
153;1936.68821038;10.9704;10.9704;10.5794;10.5794;0.15221;0.339329;0.85362;09/08/36 08:46 PM;2428420.36538;2428420.36884;600;6;298.639227795;33.0014585952;#WERT!
432;1946.95193746;11.1091;11.1091;10.7181;10.7181;0.152524;0.375163;0.951686;12/14/46 04:39 PM;2432169.19377;2432169.19516;240;2;298.639626308;33.0016163977;#WERT!
52;1929.88990871;11.03;11.03;10.639;10639;0.152858;0.330751;0.83076;11/21/29 06:53 PM;2425937.28742;2425937.28916;300;1;298.639388635;33.0013510135;#WERT!
330;1938.73065431;10.9976;10.9976;10.6066;10.6066;0.152976;0.343285;0.863103;09/24/38 08:39 PM;2429166.3611;2429166.37149;1800;5;298.639260232;33.0014302655;#WERT!
295;1937.88971197;11.0686;11.0686;10.6776;10.6776;0.153866;0.347724;0.873846;11/21/37 04:57 PM;2428859.20691;2428859.2173;1800;5;298.639561905;33.0014428268;#WERT!
323;1938.66767747;11.0888;11.0888;10.6978;10.6978;0.153944;0.353214;0.888549;09/01/38 08:36 PM;2429143.35881;2429143.3692;1800;5;298.639110095;33.0015172226;#WERT!
444;1947.54119989;10.8421;10.8421;10.4511;10.4511;0.15479;0.342676;0.859349;07/17/47 10:07 PM;2432384.42188;2432384.42326;240;2;298.639143911;33.0013704744;#WERT!
152;1936.68821038;11.0006;11.0006;10.6096;10.6096;0.154985;0.341033;0.8548;09/08/36 08:46 PM;2428420.36538;2428420.36884;600;6;298.638995346;33.0015421937;#WERT!
143;1936.57088768;10.8742;10.8742;10.4832;10.4832;0.155273;0.342856;0.859249;07/28/36 12:07 AM;2428377.50495;2428377.51672;1800;6;298.638843715;33.0014945146;#WERT!
428;1946.88919099;10.9689;10.9689;10.5779;10.5779;0.155523;0.361226;0.908678;11/21/46 06:35 PM;2432146.27493;2432146.27701;360;2;298.639246069;33.0014267046;#WERT!
162;1936.70183476;11.0882;11.0882;10.6972;10.6972;0.155636;0.32105;0.803154;09/13/36 08:02 PM;2428425.33476;2428425.34514;1800;6;298.638908159;33.0016530206;#WERT!
51;1929.88990871;11004;11.004;10.613;10613;0.15661;0.330814;0.826455;11/21/29 06:53 PM;2425937.28742;2425937.28916;300;1;298.639438134;33.0013291249;#WERT!
294;1937.88971197;11.0907;11.0907;10.6997;10.6997;0.156642;0.348306;0.87209;11/21/37 04:57 PM;2428859.20691;2428859.2173;1800;5;298.639688229;33.0012854586;#WERT!
244;1937.66584021;11.0283;11.0283;10.6373;10.6373;0.156657;0.307967;0.770291;08/31/37 10:35 PM;2428777.44122;2428777.44814;1200;8;298.639451739;33.0011903126;#WERT!
423;1946.67601792;10.8664;10.8664;10.4754;10.4754;0.157811;0.376526;0.949317;09/04/46 09:52 PM;2432068.41139;2432068.41554;720;2;298.639135243;33.0015266062;#WERT!
429;1946.81550975;10.8364;10.8364;10.4454;10.4454;0.157889;0.359082;0.899889;10/25/46 08:40 PM;2432119.36147;2432119.36494;600;2;298.639461823;33.0014035867;#WERT!
119;1936.21535061;11.2623;11.2623;10.8713;10.8713;0.15839;0.33971;0.847234;03/20/36 03:42 AM;2428247.65439;2428247.65681;420;7;298.639134101;33.0014931557;#WERT!
220;1973.65222225;10.9703;10.9703;10.5793;10.5793;0.158723;0.343043;0.855577;08/26/73 11:14 PM;2441921.46863;2441921.47418;960;5;298.639399745;33.0015123543;#WERT!
310;1938.32315815;10858;10.858;10.467;10467;0.158886;0.311025;0.774863;04/29/38 12:33 AM;2429017.52312;2429017.53351;1800;5;298.638998344;33.0015368689;#WERT!
209;1936.86314778;11.3232;11.3232;10.9322;10.9322;0.158927;0.334749;0.833715;11/11/36 06:11 PM;2428484.2578;2428484.26473;1200;4;298.639571207;33.0015450999;#WERT!
